あぁ (大黒摩季の曲)	あ
あぁ (Superflyの曲)	あ
ああ異常	あ
嗚呼玉杯	あ
あぁ、グッと	あ
アーノルド・レーン	あ
アーバン文法	あ
A・A・B・C〜ア・ア・ビ・チ〜	A
嗚呼!武道館	あ
ああモンテンルパの夜は更けて	あ
Are You OK?	A
アー・ユー・ゴナ・ビー・マイ・ガール	あ
ああ、夜が明ける	あ
R.I.P.	R
RPG (SEKAI NO OWARIの曲)	R
嗚呼黎明	あ
いい娘をみつけた	い
Easy Come, Easy Go!	E
イージー・ラヴァー	い
いいじゃないの幸せならば	い
いい日旅立ち	い
いい日旅立ち・西へ	い
Even if	E
いいやつみつけた	い
いい湯だな	い
言い訳Maybe	い
eve (アイドリング!!!の曲)	E
Yeah! めっちゃホリディ	Y
家路 (岩崎宏美の曲)	い
YES-YES-YES	Y
イエス・イット・イズ	い
イエスタデイ	い
Virginから始めよう	V
処女的衝撃!	う
ヴァーティゴ (曲)	う
VIBE ON!	V
VALENTI	V
WE ARE.	W
ウィ・アー・オール・アローン	う
ウィ・アー・ザ・ワールド	う
ウィーアー!	う
WE ARE MUSIC!	W
We Are Love	W
We Will Win! -ココロのバトンでポ・ポンのポ〜ン☆-	W
WEEKEND	W
WEEKEND SHUFFLE -華やかな週末-	W
ウィーゴー!	う
ヴィーナス (ORIGINAL LOVEの曲)	う
AIR COMMUNICATION	A
エアーマンが倒せない	え
永遠さえ感じた夜	え
永遠dive	え
永遠に (沢田研二の曲)	え
永遠の恋	え
永遠の木もれ陽	え
永遠のFULL MOON	え
永遠ラブリン(∂▽＜)/	え
栄冠は君に輝く	え
栄光の架橋	え
H (シングル)	H
Eighteen	E
エイト・デイズ・ア・ウィーク	え
エイトビート	え
英雄 (doaの曲)	え
お後がよろしくって…よ!	お
OECURA MAMBO	O
おいしい季節	お
おいしい水	お
おいでシャンプー	お
おいでよ亀有	お
俺らの家まで	お
桜花爛漫_(歌)	お
王者の休日	お
おうちがいちばん (曲)	お
黄金の月	お
OECURA MAMBO	O
逢瀬川 (音速ラインの曲)	お
OH! (ピンク・レディーの曲)	O
Oh! Yeah!	O
大井追っかけ音次郎	お
かあさんの歌	か
怪獣がやってくる	か
Garden Of Eden	G
カーニヴァル・オブ・ライト	か
カーニバる?	か
ガーネット (奥華子の曲)	か
ガーベラ (ムックの曲)	か
カーマは気まぐれ	か
ガール	か
ガール・イズ・マイン	か
GIRL IN THE BOX〜22時までの君は…	G
Girl's Age	G
ガールズ・ジャスト・ワナ・ハヴ・ファン	か
Girls, Be Ambitious.	G
GIRL FRIDAY	G
Girl Friend	G
Key	K
KEY OF HEART	K
KEY FOR LIFE	K
Keep On Running	K
Keep Tryin'	K
keep yourself alive	K
黄色いリボン (桜田淳子の曲)	き
Give me a Shake	G
ギヴ・ミー・ラヴ	き
消えた恋	き
記憶薔薇園	き
気がつけば あなた	き
気がむけば電話して	き
KIKI The Pixy	K
気球にのってどこまでも	き
帰郷 (村下孝蔵の曲)	き
Queen (ROUAGEの曲)	Q
くいしんぼうのカレンダー	く
